Designator,Mid X,Mid Y,Rotation,Layer
D1,69.1,-46.849875,270.0,top
D10,117.1,-29.849875,270.0,top
D11,100.0,-29.539875,270.0,top
D12,112.3,-29.839875,270.0,top
D13,124.1,-33.839875,270.0,top
D14,120.7,-33.839875,270.0,top
D15,124.2,-39.149875,270.0,top
D16,120.7,-39.149875,270.0,top
D2,69.1,-52.349875,270.0,top
D3,72.9,-46.749875,270.0,top
D4,72.9,-52.249875,270.0,top
D5,81.8,-32.359875,270.0,top
D6,95.3,-32.359875,270.0,top
D7,78.8,-32.349875,270.0,top
D8,91.9,-32.349875,270.0,top
D9,103.1,-29.539875,270.0,top
FPC1,99.35,-50.109875,0.0,top
FPC2,115.33,-50.127375,0.0,top
H1,92.25,-27.624875,270.0,bottom
H2,92.27,-24.374875,270.0,bottom
PW1,80.6,-24.152375,180.0,top
SW1,64.55,-59.249875,0.0,top
SW2,86.9937,-39.839875,0.0,top
SW3,108.05,-36.839875,0.0,top
SW4,128.95,-46.169875,0.0,top
U1,66.495,-32.372375,90.0,top
USBC1,123.17,-25.519875,180.0,top
